place,count,count_normalized,label
United States,1437,0.14395912642756964,1980 - 1985
Lebanon,425,0.042576637948306954,1980 - 1985
Soviet Union,395,0.0395712282107794,1980 - 1985
Israel,335,0.0335604087357243,1980 - 1985
France,208,0.020837507513524343,1980 - 1985
Britain,193,0.01933480264476057,1980 - 1985
Italy,191,0.019134441995592066,1980 - 1985
Palestinian,189,0.018934081346423562,1980 - 1985
Iran,178,0.017832097775996793,1980 - 1985
Libya,162,0.01622921258264877,1980 - 1985
Republican,148,0.014826688038469244,1980 - 1985
Syria,142,0.014225606090963735,1980 - 1985
Europe,121,0.01212181927469445,1980 - 1985
Jewish,111,0.011120016028851933,1980 - 1985
London,105,0.010518934081346423,1980 - 1985
Democrat,104,0.010418753756762171,1980 - 1985
Spain,96,0.009617311160088158,1980 - 1985
El Salvador,96,0.009617311160088158,1980 - 1985
Nicaragua,95,0.009517130835503908,1980 - 1985
Moscow,94,0.009416950510919656,1980 - 1985
Cuba,90,0.009016229212582648,1980 - 1985
Egypt,86,0.008615507914245642,1980 - 1985
Christian,84,0.008415147265077139,1980 - 1985
Iraq,82,0.008214786615908635,1980 - 1985
West Germany,82,0.008214786615908635,1980 - 1985
Russia,82,0.008214786615908635,1980 - 1985
Northern Ireland,81,0.008114606291324385,1980 - 1985
Paris,79,0.00791424564215588,1980 - 1985
Ireland,76,0.007613704668403126,1980 - 1985
Turkey,75,0.007513524343818874,1980 - 1985
Rome,72,0.007212983370066119,1980 - 1985
Jew,66,0.006611901422560609,1980 - 1985
Germany,62,0.006211180124223602,1980 - 1985
Communist,58,0.005810458825886596,1980 - 1985
South Africa,57,0.005710278501302344,1980 - 1985
Jerusalem,57,0.005710278501302344,1980 - 1985
Armenia,52,0.005209376878381086,1980 - 1985
Democratic,51,0.005109196553796835,1980 - 1985
Jordan,50,0.005009016229212583,1980 - 1985
West Bank,49,0.004908835904628331,1980 - 1985
Argentina,46,0.004608294930875576,1980 - 1985
Marxist,46,0.004608294930875576,1980 - 1985
India,46,0.004608294930875576,1980 - 1985
Catholic,46,0.004608294930875576,1980 - 1985
Madrid,42,0.004207573632538569,1980 - 1985
Afghanistan,41,0.004107393307954317,1980 - 1985
Saudi Arabia,39,0.0039070326587858145,1980 - 1985
The West Bank,39,0.0039070326587858145,1980 - 1985
Africa,39,0.0039070326587858145,1980 - 1985
Indian,38,0.003806852334201563,1980 - 1985
Japan,38,0.003806852334201563,1980 - 1985
West German,37,0.003706672009617311,1980 - 1985
Los Angeles,36,0.0036064916850330597,1980 - 1985
Socialist,36,0.0036064916850330597,1980 - 1985
New York City,36,0.0036064916850330597,1980 - 1985
Kuwait,35,0.0035063113604488078,1980 - 1985
China,35,0.0035063113604488078,1980 - 1985
Basque,34,0.0034061310358645563,1980 - 1985
Shiite,33,0.0033059507112803044,1980 - 1985
Poland,33,0.0033059507112803044,1980 - 1985
Tripoli,32,0.003205770386696053,1980 - 1985
South African,32,0.003205770386696053,1980 - 1985
Greece,32,0.003205770386696053,1980 - 1985
Canada,30,0.0030054097375275496,1980 - 1985
California,29,0.002905229412943298,1980 - 1985
Belfast,28,0.002805049088359046,1980 - 1985
Vietnam,28,0.002805049088359046,1980 - 1985
Teheran,26,0.002604688439190543,1980 - 1985
Guatemala,25,0.0025045081146062914,1980 - 1985
Latin American,25,0.0025045081146062914,1980 - 1985
Damascus,25,0.0025045081146062914,1980 - 1985
North Korea,25,0.0025045081146062914,1980 - 1985
San Salvador,24,0.0024043277900220395,1980 - 1985
Yemen,24,0.0024043277900220395,1980 - 1985
Chile,24,0.0024043277900220395,1980 - 1985
Cairo,22,0.0022039671408535366,1980 - 1985
Nazi,21,0.0021037868162692847,1980 - 1985
Belgium,21,0.0021037868162692847,1980 - 1985
Mexico,21,0.0021037868162692847,1980 - 1985
Vienna,21,0.0021037868162692847,1980 - 1985
Pakistan,20,0.002003606491685033,1980 - 1985
