colocate,label,score_normalized,score
able,2006 - 2010,7.023718656496365e-06,1.3214143331586001
aborted,2006 - 2010,1.2587692191889688e-05,2.368198058213358
academic,2006 - 2010,1.7007360431054938e-05,3.199696762056952
acceptable,2006 - 2010,3.495041848276551e-05,6.575431931673572
accepted,2006 - 2010,9.003433467208989e-06,1.6938699587868304
accessible,2006 - 2010,3.0235312800325078e-06,0.5688350809001959
accountable,2006 - 2010,1.932745431270318e-06,0.3636189944574726
act,2006 - 2010,0.00030520911512253924,57.420822082694045
adaptable,2006 - 2010,2.1560144345539526e-05,4.056239316592424
additional,2006 - 2010,1.1568368341190684e-05,2.1764265462382504
administrative,2006 - 2010,7.548503010135793e-07,0.14201451623149075
advanced,2006 - 2010,1.0242140236316382e-05,1.926915295499619
aerial,2006 - 2010,2.893966775808447e-07,0.054445933333349794
affected,2006 - 2010,4.689967926260613e-06,0.8823518057749666
affordable,2006 - 2010,3.1343590823326774e-05,5.896857803137406
african,2006 - 2010,0.00010323305642951704,19.42185430442362
aggressive,2006 - 2010,4.123833166553827e-06,0.7758414766227708
agricultural,2006 - 2010,9.897000320031021e-06,1.8619820522093562
algerian,2006 - 2010,2.9000609140092852e-05,5.456058601180509
alive,2006 - 2010,7.0269073088287974e-06,1.3220142334538147
allied,2006 - 2010,9.414161097091486e-06,1.7711426121624037
ambiguous,2006 - 2010,3.0235312800325078e-06,0.5688350809001959
ambitious,2006 - 2010,4.690709145982297e-06,0.8824912558885254
american,2006 - 2010,0.00027393098532352267,51.536279854826255
angered,2006 - 2010,4.099431544487884e-06,0.7712506530537726
angry,2006 - 2010,1.8707226835203706e-05,3.5195028278678846
annual,2006 - 2010,8.45354374894432e-05,15.904159067513884
anonymous,2006 - 2010,2.0373440005764454e-08,0.003832977508924501
applicable,2006 - 2010,1.0018409958982975e-05,1.884823576043221
arabian,2006 - 2010,2.2187550461429923e-05,4.1742769936115804
arian,2006 - 2010,2.481845173768332e-05,4.6692442361207895
arrive,2006 - 2010,3.102535316031291e-08,0.005836985842168629
