colocate,label,score_normalized,score
able,1996 - 2000,0.00013462499961535454,8.740528100026893
academic,1996 - 2000,6.322497220281368e-08,0.004104881320267678
acceptable,1996 - 2000,1.4848240464650061e-05,0.9640220121674052
accepted,1996 - 2000,0.00010320927370060873,6.700862095012022
accessible,1996 - 2000,3.5506622096612114e-05,2.3052674396225417
act,1996 - 2000,0.0003367944513722993,21.866379755346532
additional,1996 - 2000,3.82895795077853e-05,2.48595094954296
advanced,1996 - 2000,2.2489642892220424e-06,0.1460140064777411
african,1996 - 2000,1.3334394534579485e-05,0.8657355651575731
aggressive,1996 - 2000,0.00011745584795941482,7.625820928765007
agricultural,1996 - 2000,4.626066374429371e-06,0.3003473593598269
albanian,1996 - 2000,5.660769219994313e-06,0.3675254416081308
algerian,1996 - 2000,0.00010135004556869435,6.580151708547481
american,1996 - 2000,1.9354717308239802e-05,1.256605021237469
angry,1996 - 2000,0.00010724988985885798,6.963199099086354
annual,1996 - 2000,0.0004495607614410369,29.18773243655932
anonymous,1996 - 2000,5.1475060271574716e-05,3.3420182881319884
asian,1996 - 2000,1.1654872119197767e-05,0.7566925723389151
available,1996 - 2000,1.1922817521216016e-06,0.07740889275649498
aware,1996 - 2000,3.33311628172679e-05,2.1640257459111183
bad,1996 - 2000,6.095902055735659e-05,3.9577644096863764
basic,1996 - 2000,2.227341441045931e-05,1.4461014305990707
best,1996 - 2000,3.618865703870105e-05,2.3495485582376654
big,1996 - 2000,3.813631705461548e-05,2.4760003847709102
bigger,1996 - 2000,3.140791366086066e-05,2.0391587944313785
biggest,1996 - 2000,5.900229662143251e-06,0.3830724108146506
biological,1996 - 2000,0.00040249985538603225,26.132303110938146
black,1996 - 2000,0.000218003993433813,14.153909273690308
british,1996 - 2000,6.652381915733437e-05,4.319058958789934
broad,1996 - 2000,1.2791183286933277e-05,0.830467574904143
capable,1996 - 2000,1.102998405375131e-05,0.7161217146898038
catastrophic,1996 - 2000,1.4848240464650061e-05,0.9640220121674052
cautious,1996 - 2000,5.340481082851328e-05,3.4673073430412247
central,1996 - 2000,0.00013707936625050992,8.899877853814356
certain,1996 - 2000,1.6945761230435323e-05,1.1002035478860133
civil,1996 - 2000,2.191119517388748e-05,1.4225843466646446
civilian,1996 - 2000,0.00010654811736158082,6.917636519700634
clear,1996 - 2000,7.691175880562368e-05,4.993495940455118
commercial,1996 - 2000,3.161313055679178e-05,2.0524825013997066
common,1996 - 2000,0.00010341771974414203,6.714395454388422
complete,1996 - 2000,2.5411195836201138e-06,0.16498218896653588
complex,1996 - 2000,1.1488247062907619e-05,0.7458744405592772
concerned,1996 - 2000,1.9223130632185352e-05,1.248061756294634
conditional,1996 - 2000,0.00022291879874827153,14.47300300873153
congressional,1996 - 2000,0.0001312596610396882,8.522033493001757
conservative,1996 - 2000,1.2428632418326604e-05,0.8069289597598548
constant,1996 - 2000,3.293866508797446e-05,2.138542830836742
constitutional,1996 - 2000,9.507217410316154e-06,0.6172560903647764
continued,1996 - 2000,0.00017011392682277136,11.04464669896843
contrary,1996 - 2000,9.53427116805209e-06,0.6190125555857819
controversial,1996 - 2000,9.783758151281488e-06,0.6352104979719506
conventional,1996 - 2000,0.00012493986192313325,8.111720535359428
counter,1996 - 2000,2.481827355770547e-05,1.6113264107340277
credible,1996 - 2000,3.815709427737233e-05,2.477349345958398
criminal,1996 - 2000,7.171380922144821e-06,0.46560190637025256
critical,1996 - 2000,7.935370741990667e-05,5.152039454237441
crucial,1996 - 2000,1.8055693134815056e-05,1.1722658767778675
current,1996 - 2000,5.1622643994603536e-05,3.3516001613496345
daily,1996 - 2000,6.40928793841938e-05,4.161230194018783
dangerous,1996 - 2000,1.2571166860299251e-05,0.8161830084049289
dead,1996 - 2000,6.296124183214572e-05,4.087758625952061
democratic,1996 - 2000,5.801314836962305e-05,3.7665036578977764
despicable,1996 - 2000,6.38006140982554e-05,4.142254870329231
detailed,1996 - 2000,2.228776492665323e-06,0.14470331378629608
different,1996 - 2000,4.236341471228604e-05,2.750444700195171
difficult,1996 - 2000,6.319981605091451e-05,4.103248057105624
diplomatic,1996 - 2000,4.9539811001258914e-05,3.216372229256735
direct,1996 - 2000,2.348567553246409e-05,1.524807483945231
disappointed,1996 - 2000,2.3332869436689537e-05,1.5148865481770681
diversified,1996 - 2000,0.00022291879874827153,14.47300300873153
domestic,1996 - 2000,0.006682849810488543,433.8840239459686
draconian,1996 - 2000,7.607549137298102e-05,4.939201277390793
dramatic,1996 - 2000,2.4830885332060312e-05,1.6121452301840158
